City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,balkhash,46.844,74.9804,-9.66,62,0,13.0,KZ,1679276238
1,yumen,40.2833,97.2,7.33,28,1,17.68,CN,1679276239
2,east london,-33.0153,27.9116,24.77,65,100,4.19,ZA,1679276239
3,portland,45.5234,-122.6762,11.02,89,100,3.09,US,1679275779
4,tumarbong,10.3766,119.4579,28.53,73,40,4.72,PH,1679276240
5,ponta do sol,32.6667,-17.1,17.06,79,10,2.11,PT,1679276241
6,nuevitas,21.5453,-77.2644,23.07,87,73,3.09,CU,1679275978
7,kapaa,22.0752,-159.319,24.99,85,100,2.57,US,1679276242
8,ilulissat,69.2167,-51.1,-3.99,58,75,0.0,GL,1679276243
9,canavieiras,-15.675,-38.9472,24.44,86,61,1.9,BR,1679276244
10,cape town,-33.9258,18.4232,17.28,89,75,8.75,ZA,1679276245
11,baykit,61.67,96.37,-21.4,92,33,1.44,RU,1679276246
12,butaritari,3.0707,172.7902,27.3,75,14,4.45,KI,1679276246
13,port alfred,-33.5906,26.891,20.66,95,100,1.79,ZA,1679276247
14,kampong thum,12.7111,104.8887,30.82,54,46,4.81,KH,1679276248
15,mataura,-46.1927,168.8643,16.38,81,100,2.46,NZ,1679276209
16,albany,42.6001,-73.9662,-1.7,57,39,4.28,US,1679276137
17,busselton,-33.65,115.3333,26.21,41,32,2.77,AU,1679276250
18,garden city,42.3256,-83.331,1.97,47,0,4.63,US,1679276251
19,isangel,-19.55,169.2667,26.76,78,100,6.99,VU,1679276251
20,broken hill,-31.95,141.4333,27.9,30,94,8.02,AU,1679276252
21,kodiak,57.79,-152.4072,2.73,60,75,2.06,US,1679276253
22,vaini,-21.2,-175.2,27.09,89,75,4.12,TO,1679276253
23,kahului,20.8947,-156.47,27.01,70,40,5.66,US,1679276254
24,ushuaia,-54.8,-68.3,4.81,87,100,12.35,AR,1679276254
25,simbahan,6.3032,120.5836,27.73,74,47,0.98,PH,1679276255
26,tual,-5.6667,132.75,28.18,71,44,1.44,ID,1679276256
27,rikitea,-23.1203,-134.9692,26.4,71,2,3.95,PF,1679276256
28,punta arenas,-53.15,-70.9167,7.06,76,40,17.49,CL,1679276257
29,salalah,17.0151,54.0924,24.73,86,77,2.46,OM,1679276184
30,kavieng,-2.5744,150.7967,28.66,73,100,4.97,PG,1679276258
31,avarua,-21.2078,-159.775,29.03,79,75,5.66,CK,1679276170
32,arraial do cabo,-22.9661,-42.0278,24.8,88,6,6.75,BR,1679276259
33,rundu,-17.9333,19.7667,18.8,75,5,1.84,NA,1679276262
34,barrow,71.2906,-156.7887,-17.99,71,0,5.66,US,1679276262
35,bismarck,46.8083,-100.7837,-4.09,80,0,5.14,US,1679276264
36,anadyr,64.75,177.4833,-10.0,72,0,3.0,RU,1679276265
37,rosas,2.2609,-76.7399,14.83,97,100,1.0,CO,1679276265
38,contai,21.7786,87.7536,23.85,77,100,4.66,IN,1679276266
39,touros,-5.1989,-35.4608,23.98,87,97,2.07,BR,1679276266
40,menongue,-14.6585,17.691,15.69,95,47,1.49,AO,1679276267
41,atuona,-9.8,-139.0333,27.14,76,25,6.65,PF,1679276268
42,new norfolk,-42.7826,147.0587,14.84,36,8,1.98,AU,1679276268
43,akdepe,42.0551,59.3788,3.05,51,0,4.71,TM,1679276269
44,charlestown,-32.95,151.6667,24.88,82,100,4.47,AU,1679276269
45,norman wells,65.282,-126.8329,-2.98,63,75,3.09,CA,1679276270
46,grand-santi,4.25,-54.3833,21.65,96,82,1.2,GF,1679276271
47,torbay,47.6666,-52.7314,0.32,78,0,12.35,CA,1679276061
48,imeni zhelyabova,58.9544,36.5956,-2.2,97,100,2.15,RU,1679276272
49,dukat,62.55,155.55,-15.06,79,99,2.09,RU,1679276272
50,san patricio,28.017,-97.5169,12.13,50,100,2.62,US,1679276273
51,gisborne,-38.6533,178.0042,23.88,54,2,3.51,NZ,1679276273
52,tuatapere,-46.1333,167.6833,15.18,94,100,3.34,NZ,1679276274
53,bridlington,54.0831,-0.1919,7.72,92,100,4.55,GB,1679276275
54,bredasdorp,-34.5322,20.0403,17.05,84,2,1.82,ZA,1679276275
55,tuktoyaktuk,69.4541,-133.0374,-10.0,79,75,8.23,CA,1679276276
56,maragogi,-9.0122,-35.2225,25.3,82,93,4.13,BR,1679276141
57,tatui,-23.3556,-47.8569,20.31,85,17,0.84,BR,1679276277
58,talnakh,69.4865,88.3972,-22.76,96,100,7.06,RU,1679276278
59,newport,51.5877,-2.9984,8.76,92,100,3.94,GB,1679275789
60,carnarvon,-24.8667,113.6333,26.08,66,0,5.96,AU,1679276157
61,puerto ayora,-0.7393,-90.3518,27.53,86,52,0.89,EC,1679276280
62,broome,42.2506,-75.833,-1.28,59,0,3.6,US,1679276280
63,klaksvik,62.2266,-6.589,0.51,67,59,5.03,FO,1679276281
64,jamestown,42.097,-79.2353,-2.23,69,0,3.09,US,1679276158
65,nishihara,26.1842,127.7558,20.03,88,100,4.63,JP,1679276283
66,plettenberg bay,-34.0527,23.3716,19.54,74,48,1.52,ZA,1679276284
67,cartagena,10.3997,-75.5144,26.79,78,0,2.57,CO,1679275782
68,mosquera,4.7059,-74.2302,12.05,94,75,1.03,CO,1679276043
69,kruisfontein,-34.0033,24.7314,19.38,94,100,2.49,ZA,1679276286
70,iqaluit,63.7506,-68.5145,-29.06,68,0,10.29,CA,1679276286
71,punta cardon,11.6581,-70.215,24.79,75,3,11.19,VE,1679276288
72,bethel,41.3712,-73.414,1.53,47,0,3.09,US,1679276288
73,half moon bay,37.4636,-122.4286,14.69,88,100,9.26,US,1679276289
74,port blair,11.6667,92.75,26.02,89,20,0.51,IN,1679276290
75,hermanus,-34.4187,19.2345,17.31,76,8,3.17,ZA,1679276291
76,lasa,46.6166,10.7002,6.68,97,100,1.5,IT,1679276292
77,severo-kurilsk,50.6789,156.125,0.24,85,90,6.39,RU,1679276292
78,tera,14.0078,0.7531,26.31,13,19,2.84,NE,1679276293
79,ivanava,52.1451,25.5365,4.6,85,100,2.82,BY,1679276294
80,hilo,19.7297,-155.09,30.71,71,40,6.17,US,1679276295
81,georgetown,5.4112,100.3354,28.96,94,20,1.03,MY,1679276275
82,atar,20.5169,-13.0499,22.09,22,0,3.67,MR,1679276296
83,ryotsu,38.0833,138.4333,10.68,46,0,2.28,JP,1679276296
84,umm lajj,25.0213,37.2685,18.94,50,0,2.89,SA,1679276297
85,airai,-8.9266,125.4092,22.93,60,33,1.13,TL,1679276298
86,tautira,-17.7333,-149.15,27.48,77,99,4.48,PF,1679276298
87,gaziantep,37.0594,37.3825,6.96,93,75,2.06,TR,1679276299
88,waiuku,-37.25,174.75,23.81,58,5,3.33,NZ,1679276300
89,kanniyakumari,8.0833,77.5667,26.65,79,60,4.86,IN,1679276301
90,sao joao da barra,-21.6403,-41.0511,24.28,88,2,3.11,BR,1679276302
91,dikson,73.5069,80.5464,-18.42,94,100,6.01,RU,1679276303
92,manono,-7.3,27.4167,19.91,97,100,0.53,CD,1679276303
93,karachi,24.9056,67.0822,20.9,83,5,2.06,PK,1679275637
94,faanui,-16.4833,-151.75,27.44,75,100,4.55,PF,1679276081
95,vila franca do campo,37.7167,-25.4333,15.23,86,12,4.25,PT,1679276028
96,mahebourg,-20.4081,57.7,24.58,94,40,1.54,MU,1679275864
97,ler,8.3018,30.1418,25.95,59,34,1.83,SS,1679276306
98,cidreira,-30.1811,-50.2056,23.41,80,31,4.14,BR,1679276307
99,pevek,69.7008,170.3133,-9.27,89,100,2.18,RU,1679276307
100,yellowknife,62.456,-114.3525,-10.71,57,20,4.63,CA,1679276308
101,mugur-aksy,50.35,90.5,-9.66,87,100,3.68,RU,1679276309
102,nizhniy kuranakh,58.8353,125.4869,-8.97,95,100,1.68,RU,1679276309
103,ust-uda,54.1742,103.0304,-2.51,80,100,6.93,RU,1679276310
104,tsuruoka,38.7217,139.8217,12.02,43,20,5.66,JP,1679276310
105,shimoda,34.6667,138.95,15.61,55,40,2.71,JP,1679276311
106,ribeira grande,38.5167,-28.7,13.76,76,2,1.34,PT,1679276312
107,bontang,0.1333,117.5,28.87,68,100,2.51,ID,1679276313
108,japura,-0.3167,102.35,27.67,80,70,0.53,ID,1679276313
109,imbituba,-28.24,-48.6703,22.64,91,100,4.17,BR,1679276153
110,phayuha khiri,15.4553,100.1353,28.31,59,36,4.02,TH,1679276314
111,nikolskoye,59.7035,30.7861,2.94,99,100,1.72,RU,1679276315
112,assiniboia,49.6334,-105.9845,-9.1,79,100,1.54,CA,1679276239
113,souillac,-20.5167,57.5167,24.21,94,40,1.54,MU,1679276316
114,filingue,14.3521,3.3168,27.36,32,64,3.63,NE,1679276316
115,hobart,-42.8794,147.3294,15.03,55,75,6.69,AU,1679276251
116,mar del plata,-38.0023,-57.5575,18.94,82,75,3.09,AR,1679276267
117,boa vista,2.8197,-60.6733,27.99,51,0,4.63,BR,1679276318
118,chuy,-33.6971,-53.4616,22.71,90,1,2.92,UY,1679276319
119,kaitangata,-46.2817,169.8464,20.43,59,100,1.04,NZ,1679276319
120,kawalu,-7.3817,108.2082,27.77,74,83,1.44,ID,1679276320
121,vostok,46.4856,135.8833,3.49,85,0,2.54,RU,1679276321
122,port hardy,50.6996,-127.4199,8.1,87,100,2.06,CA,1679276321
123,isla mujeres,21.2311,-86.731,23.03,87,92,12.66,MX,1679276322
124,yulara,-25.2406,130.9889,35.57,19,9,5.95,AU,1679276322
125,saskylakh,71.9167,114.0833,-31.0,94,99,2.11,RU,1679276323
126,sitka,57.0531,-135.33,5.94,81,100,3.09,US,1679276324
127,qaanaaq,77.484,-69.3632,-23.54,62,11,3.39,GL,1679276324
128,lerwick,60.1545,-1.1494,4.0,71,100,2.51,GB,1679276325
129,guiratinga,-16.3494,-53.7583,19.68,98,100,1.95,BR,1679276325
130,kendari,-3.945,122.4989,29.74,67,80,1.88,ID,1679276326
131,oktyabrskiy,54.4815,53.471,-4.72,86,99,3.64,RU,1679276327
132,batticaloa,7.7102,81.6924,25.9,82,59,2.98,LK,1679276165
133,lavrentiya,65.5833,-171.0,-5.64,95,100,4.15,RU,1679276329
134,dali,25.7,100.1833,15.1,60,100,3.07,CN,1679276330
135,cusuna,15.85,-85.2333,23.68,91,94,0.82,HN,1679276331
136,maldonado,-34.6667,-54.9167,22.66,93,0,1.29,UY,1679276331
137,mastic beach,40.7668,-72.8521,2.65,45,0,4.63,US,1679276332
138,grand gaube,-20.0064,57.6608,24.65,84,12,0.45,MU,1679276332
139,caravelas,-17.7125,-39.2481,24.27,85,0,2.13,BR,1679276333
140,razdolnoye,43.55,131.9167,7.23,42,60,2.04,RU,1679276334
141,tura,25.5198,90.2201,17.25,96,100,1.03,IN,1679276334
142,castro,-24.7911,-50.0119,18.09,84,58,0.92,BR,1679275938
143,namibe,-15.1961,12.1522,24.1,78,90,2.17,AO,1679276057
144,le mars,42.7942,-96.1656,5.73,41,0,6.69,US,1679276336
145,fonte boa,-2.4959,-66.2662,24.03,96,97,1.35,BR,1679276337
146,shaping,22.7545,112.9565,23.3,63,87,4.12,CN,1679276337
147,rio gallegos,-51.6226,-69.2181,8.03,57,0,12.35,AR,1679276089
148,china,25.7,-99.2333,8.82,70,100,2.11,MX,1679276338
149,linxia,35.6003,103.2064,10.64,51,100,2.34,CN,1679276339
150,torres,-29.3353,-49.7269,23.24,84,91,1.97,BR,1679276339
151,road town,18.4167,-64.6167,25.05,73,20,5.14,VG,1679276340
152,leningradskiy,69.3833,178.4167,-6.66,95,100,0.9,RU,1679276341
153,katsuura,35.1333,140.3,15.67,51,6,4.94,JP,1679276341
154,assare,-6.8744,-39.875,20.54,98,80,1.45,BR,1679276342
155,chokurdakh,70.6333,147.9167,-27.03,95,100,7.88,RU,1679276343
156,mackenzie,55.2999,-123.1698,6.12,39,0,3.6,CA,1679276344
157,dekar,-21.5333,21.9333,21.21,33,0,5.15,BW,1679276345
158,lebu,-37.6167,-73.65,12.86,86,25,8.52,CL,1679276345
159,saint-paul,-21.0096,55.2707,25.06,95,30,0.45,RE,1679276346
160,cabo san lucas,22.8909,-109.9124,23.67,76,0,4.12,MX,1679275798
161,muros,42.7762,-9.0603,8.16,93,100,2.16,ES,1679276347
162,lata,40.1629,-8.3327,8.37,86,96,1.28,PT,1679276348
163,padang,-0.9492,100.3543,26.03,81,97,1.31,ID,1679275550
164,tiksi,71.6872,128.8694,-27.29,87,100,4.95,RU,1679276349
165,sisimiut,66.9395,-53.6735,-6.22,84,100,2.66,GL,1679276351
166,manta,-0.95,-80.7333,27.88,78,40,1.03,EC,1679276352
167,ust-kut,56.7938,105.7672,-0.75,94,100,5.09,RU,1679276353
168,ahipara,-35.1667,173.1667,21.47,60,8,2.32,NZ,1679276353
169,tasiilaq,65.6145,-37.6368,-12.91,79,100,1.84,GL,1679276354
170,bima,-8.4667,118.7167,29.64,75,47,1.32,ID,1679276193
171,ngunguru,-35.6167,174.5,19.23,67,2,3.51,NZ,1679276356
172,emerald,-23.5333,148.1667,29.63,54,26,6.61,AU,1679276357
173,hofn,64.2539,-15.2082,-5.22,62,48,5.3,IS,1679276358
174,dakoro,14.5106,6.765,28.18,12,99,3.94,NE,1679276359
175,amuntai,-2.4177,115.2494,28.79,77,60,0.66,ID,1679276360
176,kaeo,-35.1,173.7833,21.97,56,5,2.75,NZ,1679276360
177,cockburn town,21.4612,-71.1419,24.71,81,0,9.83,TC,1679276361
178,korla,41.7597,86.1469,3.6,25,1,5.51,CN,1679276362
179,nome,64.5011,-165.4064,-11.96,67,0,6.69,US,1679276352
180,acapulco,16.8634,-99.8901,26.9,78,0,3.09,MX,1679276363
181,kodinsk,58.6881,99.1844,-14.68,89,100,4.54,RU,1679276364
182,cherskiy,68.75,161.3,-18.2,92,94,3.7,RU,1679276364
183,margate,51.3813,1.3862,7.39,83,100,1.79,GB,1679276221
184,upernavik,72.7868,-56.1549,-29.87,98,77,4.8,GL,1679276366
185,aksarka,66.5606,67.7975,-4.43,92,100,9.14,RU,1679276139
186,richards bay,-28.783,32.0377,21.98,95,96,2.91,ZA,1679276367
187,ambulu,-8.345,113.6058,28.83,71,97,0.65,ID,1679276367
188,mushie,-3.0167,16.9,20.32,95,99,0.99,CD,1679276368
189,buriti dos lopes,-3.175,-41.8669,22.49,98,100,2.37,BR,1679276369
190,isla aguada,18.7833,-91.4667,24.02,80,100,11.63,MX,1679276370
191,wahpeton,46.2652,-96.6059,-5.6,79,0,2.57,US,1679276370
192,vardo,70.3705,31.1107,-3.01,80,100,5.66,NO,1679276371
193,ochamchira,42.7121,41.4721,10.09,95,100,1.6,GE,1679276372
194,malchin,53.7333,12.7833,7.21,94,49,2.72,DE,1679276372
195,saint-philippe,-21.3585,55.7679,24.77,83,69,1.91,RE,1679276373
196,killybegs,54.6333,-8.45,8.89,99,100,2.43,IE,1679276374
197,bengkulu,-3.8004,102.2655,27.34,76,81,1.03,ID,1679276375
198,houston,29.7633,-95.3633,12.73,45,0,4.12,US,1679276095
199,deputatskiy,69.3,139.9,-27.55,87,100,2.92,RU,1679276376
200,stellenbosch,-33.9346,18.8668,16.56,91,96,5.21,ZA,1679276377
201,santa rosa,14.3122,121.1114,28.95,69,99,4.97,PH,1679276377
202,ulladulla,-35.35,150.4667,19.87,67,100,6.2,AU,1679276378
203,la reforma,25.0833,-108.05,18.85,73,2,1.92,MX,1679276378
204,komsomolskiy,40.4272,71.7189,11.4,76,100,2.06,UZ,1679276379
205,lancut,50.0687,22.2291,6.42,66,0,2.57,PL,1679276285
206,parral,26.9333,-105.6667,8.13,62,8,3.65,MX,1679276380
207,uspenka,48.3903,39.1619,4.96,92,100,2.85,UA,1679276381
208,takoradi,4.8845,-1.7554,26.59,85,38,4.53,GH,1679276381
209,lompoc,34.6391,-120.4579,16.45,75,75,4.12,US,1679275983
210,gunnedah,-30.9833,150.25,33.85,24,54,5.67,AU,1679276382
211,fortuna,40.5982,-124.1573,12.51,93,100,0.0,US,1679276201
212,bislig,8.2167,126.2833,29.29,63,71,2.41,PH,1679276383
213,hithadhoo,-0.6,73.0833,27.84,70,100,1.39,MV,1679276384
214,micheweni,-4.9667,39.8333,26.63,79,86,3.22,TZ,1679276385
215,vanimo,-2.6741,141.3028,29.18,71,29,2.12,PG,1679276385
216,rawlins,41.7911,-107.2387,-0.92,59,0,8.61,US,1679276386
217,mount gambier,-37.8333,140.7667,19.27,39,0,5.64,AU,1679276166
218,aklavik,68.2191,-135.0107,-9.46,92,100,5.26,CA,1679276387
219,hualmay,-11.0964,-77.6139,24.04,76,98,2.93,PE,1679276146
220,ust-ilimsk,58.0006,102.6619,-13.25,88,100,5.03,RU,1679276388
221,maine-soroa,13.2114,12.0241,25.22,9,100,1.77,NE,1679276389
222,hamilton,39.1834,-84.5333,0.43,54,0,1.54,US,1679275860
223,victoria,22.2855,114.1577,24.13,85,94,7.6,HK,1679276233
224,hearst,49.6835,-83.6665,-7.86,98,100,1.58,CA,1679276390
225,aras,42.5617,-2.356,4.85,87,0,0.0,ES,1679276391
226,guantanamo,20.1444,-75.2092,26.76,87,12,0.62,CU,1679276391
227,surt,31.2089,16.5887,15.94,63,100,7.69,LY,1679276392
228,akyab,20.15,92.9,25.31,67,100,3.11,MM,1679276392
229,pangody,65.85,74.4859,-7.95,93,100,11.2,RU,1679276393
230,sozimskiy,59.7418,52.2482,-5.21,94,100,2.92,RU,1679276394
231,qaqortoq,60.7167,-46.0333,-4.37,69,98,4.62,GL,1679276394
232,mitsamiouli,-11.3847,43.2844,27.46,78,83,3.79,KM,1679276396
233,rocha,-34.4833,-54.3333,21.77,90,45,2.01,UY,1679276397
234,koforidua,6.0941,-0.2591,25.0,87,100,2.1,GH,1679276397
235,tacna,-18.0056,-70.2483,21.11,68,75,2.57,PE,1679276399
236,walvis bay,-22.9575,14.5053,16.16,83,3,3.39,NA,1679276399
237,port elizabeth,-33.918,25.5701,21.16,99,0,5.66,ZA,1679276400
238,byron bay,-28.65,153.6167,31.51,51,6,3.79,AU,1679276249
239,noumea,-22.2763,166.4572,30.0,99,35,7.32,NC,1679276402
240,ust-omchug,61.15,149.6333,-13.06,81,100,3.02,RU,1679276402
241,westport,41.1415,-73.3579,2.64,46,0,2.57,US,1679276154
242,havoysund,70.9963,24.6622,-1.87,70,100,2.85,NO,1679276403
243,port lincoln,-34.7333,135.8667,19.78,62,14,9.07,AU,1679276404
244,prince rupert,54.3161,-130.3201,7.05,93,100,2.57,CA,1679276136
245,narsaq,60.9167,-46.05,-6.14,70,96,4.6,GL,1679276405
246,lichuan,30.3,108.85,7.35,91,100,1.38,CN,1679276406
247,la ronge,55.1001,-105.2842,-10.86,52,20,2.57,CA,1679276407
248,shangqiu,34.45,115.65,12.81,56,100,4.37,CN,1679276407
249,ucluelet,48.9329,-125.5528,10.61,79,100,3.58,CA,1679276408
250,raga,8.4596,25.678,25.12,58,100,1.28,SS,1679276408
251,cabedelo,-6.9811,-34.8339,25.37,81,100,1.1,BR,1679276409
252,beloha,-25.1667,45.05,22.21,93,25,3.86,MG,1679276410
253,naze,28.3667,129.4833,17.51,86,100,3.98,JP,1679276411
254,dunedin,-45.8742,170.5036,19.82,62,100,2.35,NZ,1679275875
255,praia da vitoria,38.7333,-27.0667,13.2,82,20,4.84,PT,1679276412
256,san rafael,-34.6177,-68.3301,18.45,72,7,1.68,AR,1679276413
257,belgrade,44.804,20.4651,10.39,77,0,2.06,RS,1679276317
258,longyearbyen,78.2186,15.6401,-13.09,61,75,7.72,SJ,1679276414
259,sola,-13.8833,167.55,28.09,71,40,4.14,VU,1679276414
260,provideniya,64.3833,-173.3,-3.94,93,100,7.0,RU,1679276415
261,taoudenni,22.6783,-3.9836,22.0,22,0,4.88,ML,1679276415
262,bathsheba,13.2167,-59.5167,26.34,69,20,8.75,BB,1679276416
263,mount isa,-20.7333,139.5,30.87,48,67,6.17,AU,1679276417
264,bluff,-46.6,168.3333,16.56,92,100,2.55,NZ,1679276418
265,baruun-urt,46.6806,113.2792,3.1,25,0,6.14,MN,1679276419
266,brae,60.3964,-1.353,4.99,69,100,3.04,GB,1679276420
267,chinhoyi,-17.3667,30.2,16.89,96,66,1.67,ZW,1679276422
268,mogocha,53.7333,119.7667,-1.12,85,99,0.47,RU,1679276422
269,staryy nadym,65.6118,72.6842,-6.06,93,100,11.59,RU,1679276423
270,san policarpo,12.1791,125.5072,27.04,62,100,3.67,PH,1679276424
271,solnechnyy,50.7214,136.6319,2.28,92,66,2.59,RU,1679276424
272,grindavik,63.8424,-22.4338,-1.74,69,75,6.69,IS,1679276425
273,rio grande,-32.035,-52.0986,23.74,85,9,3.42,BR,1679276426
274,port keats,-14.25,129.55,31.11,59,100,3.48,AU,1679276427
275,mulege,26.8833,-111.9833,20.25,44,16,1.15,MX,1679276428
276,pisco,-13.7,-76.2167,23.03,83,0,5.66,PE,1679276428
277,nanortalik,60.1432,-45.2371,-2.7,78,100,3.55,GL,1679276429
278,kloulklubed,7.0419,134.2556,29.28,76,25,5.62,PW,1679276429
279,mayo,38.8876,-76.5119,3.4,39,0,6.17,US,1679276430
280,batagay-alyta,67.8006,130.4114,-24.9,87,100,0.63,RU,1679276431
281,huarmey,-10.0681,-78.1522,24.9,77,68,3.4,PE,1679276431
282,okitipupa,6.5047,4.7839,23.86,91,26,0.77,NG,1679276432
283,markova,48.6758,24.4138,3.52,72,97,2.01,UA,1679276433
284,bilibino,68.0546,166.4372,-13.62,80,26,0.66,RU,1679276433
285,yaan,7.3833,8.5667,26.22,67,97,3.03,NG,1679276434
286,samarai,-10.6167,150.6667,29.57,71,30,7.13,PG,1679276435
287,antigonish,45.6169,-61.9986,-0.48,71,7,3.58,CA,1679276435
